-1908.2437347166967, 200, 200, 0
-1310.9056494586675, 200, 400, 1
-1076.0294328959303, 200, 600, 2
-1450.0926962623712, 200, 800, 3
-968.1018739309135, 200, 1000, 4
-1465.7245469590414, 200, 1200, 5
-1358.568638457643, 200, 1400, 6
-1459.9576692261044, 200, 1600, 7
-1036.4865465721941, 200, 1800, 8
-1175.4456273073342, 200, 2000, 9
-1177.2631164476304, 200, 2200, 10
-1673.8384768119954, 200, 2400, 11
-1044.7884823167567, 200, 2600, 12
-1193.9377201154718, 200, 2800, 13
-967.2240310779448, 200, 3000, 14
-994.180114111499, 200, 3200, 15
-949.4112564973981, 200, 3400, 16
-986.9566066221051, 200, 3600, 17
-1116.1758634699086, 200, 3800, 18
-976.7038449388658, 200, 4000, 19
-768.4235006720709, 200, 4200, 20
-976.4924359016562, 200, 4400, 21
-1009.9342495029778, 200, 4600, 22
-923.2532039900331, 200, 4800, 23
-1157.2067956648682, 200, 5000, 24
-613.34905650635, 200, 5200, 25
-890.9550786817484, 200, 5400, 26
-357.8150987483603, 200, 5600, 27
-242.27479317154925, 200, 5800, 28
-356.0008413261814, 200, 6000, 29
-246.30713267965223, 200, 6200, 30
-243.32586405033265, 200, 6400, 31
-242.70181819375273, 200, 6600, 32
-247.12439078636862, 200, 6800, 33
-724.858433462243, 200, 7000, 34
-680.831882542843, 200, 7200, 35
-365.28466973846304, 200, 7400, 36
-0.6055502004461314, 200, 7600, 37
-362.1691563131764, 200, 7800, 38
-356.73560422885896, 200, 8000, 39
-2.1239378735186834, 200, 8200, 40
-121.05745346655925, 200, 8400, 41
-127.61883125205914, 200, 8600, 42
-124.6823244784833, 200, 8800, 43
-123.4620458544413, 200, 9000, 44
-126.44208880826665, 200, 9200, 45
-581.0832616665068, 200, 9400, 46
-468.3335274803469, 200, 9600, 47
-122.2391039153963, 200, 9800, 48
-239.39212612214897, 200, 10000, 49
-127.5569178118435, 200, 10200, 50
-123.24085240775116, 200, 10400, 51
-128.11786298639822, 200, 10600, 52
-121.93989196496517, 200, 10800, 53
-125.38438126791283, 200, 11000, 54
-125.855379280426, 200, 11200, 55
-368.97315714389407, 200, 11400, 56
-378.57478157706413, 200, 11600, 57
-118.94743330808045, 200, 11800, 58
-124.21224492797843, 200, 12000, 59
-119.3041081342288, 200, 12200, 60
-2.912973461705761, 200, 12400, 61
-124.07952124449126, 200, 12600, 62
-238.90540091300429, 200, 12800, 63
-354.9893149452169, 200, 13000, 64
-359.0880236677319, 200, 13200, 65
-119.98383029696748, 200, 13400, 66
-120.01911921408453, 200, 13600, 67
-129.58237613726374, 200, 13800, 68
-124.28512654826615, 200, 14000, 69
-365.3550532165991, 200, 14200, 70
-4.088640300142146, 200, 14400, 71
-238.2681796797347, 200, 14600, 72
-248.77765492338574, 200, 14800, 73
-7.076847884960306, 200, 15000, 74
-232.62247120758346, 200, 15200, 75
-364.02466979216285, 200, 15400, 76
-128.1244857182267, 200, 15600, 77
-130.132135304612, 200, 15800, 78
-248.03698008575333, 200, 16000, 79
-126.79584247983632, 200, 16200, 80
-127.50594316119111, 200, 16400, 81
-128.56776825691517, 200, 16600, 82
-128.09049278945264, 200, 16800, 83
-128.85432964212777, 200, 17000, 84
-372.87873917739097, 200, 17200, 85
-120.94392268469342, 200, 17400, 86
-235.14531667044574, 200, 17600, 87
-246.3061526398043, 200, 17800, 88
-238.3158723173254, 200, 18000, 89
-126.08506792014934, 200, 18200, 90
-124.08196418567951, 200, 18400, 91
-334.82716680910727, 200, 18600, 92
-241.69873303964542, 200, 18800, 93
-241.12866689658912, 200, 19000, 94
-3.9610827616545765, 200, 19200, 95
-4.542481840802188, 200, 19400, 96
-124.15400288332576, 200, 19600, 97
-120.03457948783694, 200, 19800, 98
-126.24786449379513, 200, 20000, 99
